,data_volume
1,3
2,3
3,2160
4,17
5,15
6,9284
7,32
8,1039472
9,16
10,38
11,4
12,8
13,6
14,4
15,5
16,5
17,4
18,7603
19,318
20,2889
21,345
22,191
23,80
24,25
25,3
26,7
27,7
28,5
29,4
30,3
31,19
32,7
33,8
34,8
35,4
36,7
37,5
38,20
39,13
40,14
41,7
42,6
43,8
44,41
45,3
46,7
47,5
48,4
49,5
50,4
51,4
52,7
53,6
54,5
55,35
56,36
57,68
58,17
59,21
60,13
61,25
62,1204
63,5
64,282
65,899
66,6
67,707
68,13
69,18
70,8
71,48
72,9
73,3
74,635
75,13
76,15
77,17
78,19
79,20
80,19
81,133
82,62
83,15
84,14
85,19
86,14
87,8
88,14
89,43
90,3
91,26
92,805
93,107
94,26
95,11
96,240
97,106
98,19
99,600
100,317
101,307
102,13
103,317
104,1635
105,13
106,3
107,4
108,4
109,3
110,4
111,3
112,4
113,4
114,3
115,3
116,4
117,5
118,4
119,4
120,3
121,4
122,4
123,4
124,4
125,3
126,3
127,4
128,4
129,3
130,3
131,3
132,4
133,4
134,3
135,3
136,4
137,4
138,5
139,3
140,3
141,3
142,4
143,4
144,3
145,3
146,3
147,4
148,3
149,3
150,3
151,695
152,4
153,247
154,3
155,1035
156,3
157,4
158,4
159,3
160,3
161,3
162,4
163,3
164,3
165,3
166,3
167,4
168,3
169,3
170,3
171,3
172,4
173,4
174,3
175,3
176,3
177,5
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,2
187,4
188,3
189,3
190,3
191,72
192,1
193,1
194,43
195,1
196,1
197,39
198,1
199,1
200,3099
201,294
202,2337
203,67979
204,13
205,192
206,6739
207,886
208,281
209,117
210,5
211,1
212,44
213,1
214,1
215,132
216,1
217,1
218,83
219,1
220,1
221,18
222,1
223,1
224,16
225,1
226,1
227,21012
228,12
229,20
230,139
231,1066
232,22
233,6
234,13
235,27
236,1
237,460
238,2
239,6
240,8
241,14272
242,1
243,1
244,5
245,5
246,759
247,10
248,10
249,3
250,4
251,2
252,3
253,2
254,2
255,5
256,4
257,2
258,3
259,6
260,2
261,2
262,2
263,3
264,2
265,2
266,2
267,2
268,3
269,3
270,2
271,2
272,4
273,4
274,5
275,5
276,5
277,3
278,4
279,8
280,1
281,1
282,9
283,1
284,1
285,5
286,1
287,1
288,53
289,4
290,1
291,8
292,3
293,1
294,5
295,1
296,1
297,2
298,2
299,2
300,244
301,8
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,185
311,2
312,5
313,5
314,5
315,4
316,5
317,5
318,7
319,5
320,5
321,4
322,4
323,4
324,3
325,3
326,7
327,9
328,7
329,3101
330,4
331,91
332,17813
333,1891
334,9608
335,835
336,7
337,13
338,8
339,8
340,4
341,7
342,9
343,7
344,7
345,4
346,14
347,15
348,10
349,1612
350,15
351,2363
352,148
353,6
354,6
355,5
356,4
357,6
358,4
359,101452
360,66
361,29
362,1188
363,145
364,12
365,11
366,19
367,10
368,12
369,12
370,11
371,13
372,8
373,7
374,7
375,5
376,4
377,5
378,4
379,12
380,3027
381,13
382,2930
383,7
384,6
385,5
386,8
387,5
388,5
389,4
390,5
391,5
392,3
393,8
394,4
395,9
396,4
397,8
398,9
399,15426
400,4
401,4
402,18
403,6
404,605
405,5
406,5
407,4
408,6
409,7
410,7
411,7
412,3
413,6
414,6
415,7
416,6
417,3
418,7
419,7
420,7
421,7
422,3
423,7
424,33
425,32
426,33
427,13
428,6
429,17
430,6
431,6
432,3
433,13
434,310
435,7
436,8
437,4
438,6
439,31
440,834
441,6
442,4
443,6
444,38
445,16
446,8
447,8
448,3
449,3
450,4
451,3
452,3
453,3
454,4
455,4
456,4
457,3
458,3
459,5
460,5
461,5
462,1847
463,899
464,4
465,3
466,3
467,37
468,7
469,74
470,9
471,6
472,3
473,4
474,6
475,3
476,2
477,1
478,3
479,4
480,3
481,2
482,4
483,3
484,3
485,8
486,4
487,55
488,11
489,6
490,2624
491,1460
492,575
493,22
494,206
495,29
496,83
497,3
498,3
499,3
500,3
501,3
502,3
503,3
504,3
505,3
506,3
507,3
508,3
509,3
510,3
511,3
512,3
513,4
514,3
515,3
516,2
517,971
518,161
519,954
520,13
521,13
522,12
523,14
524,10
525,11
526,14
527,12
528,13
529,15
530,12
531,47
532,12
533,9
534,11
535,4
536,4
537,294
538,4
539,3
540,4
541,4
542,4
543,4
544,3
545,3
546,3
547,3
548,4
549,4
550,4
551,4
552,4
553,5
554,4
555,6
556,5
557,4
558,3
559,4
560,3
561,3
562,4
563,3
564,3
565,4
566,4
567,3
568,4
569,3
570,3
571,21182
572,1108
573,1463
574,160
575,5
576,6
577,8
578,6
579,6
580,7
581,6
582,5
583,7
584,6
585,5
586,7
587,6
588,6
589,7
590,5
591,5
592,8
593,74
594,116
595,3
596,6
597,1
598,168
599,154
600,23
601,23
602,7
603,4
604,1
605,8317
606,4299
