dataset_id,group_title,data_source,dataset_title,variable,sensor
,,,,,
erdTAgeo1day,Aviso Altimetry,ESA,Aviso Ocean Currents,currents,blended
erdTAgeomday,Aviso Altimetry,ESA,Aviso Ocean Currents,currents,blended
erdTAssh1day,Aviso Altimetry,ESA,Aviso Sea Surface Height,sst,modis
erdTAsshmday,Aviso Altimetry,ESA,Aviso Sea Surface Height,sst,modis
jplAvisoSshMon,Aviso Altimetry,ESA,Aviso Sea Surface Height,sst,modis
charmForecast0day,C-HARM HABS Forecast,NOAA,C-HARM HABS Forecast V1,habitat,viirs-snpp
charmForecast0dayV2,C-HARM HABS Forecast,NOAA,C-HARM HABS Forecast V2,habitat,viirs-snpp
charmForecast1day,C-HARM HABS Forecast,NOAA,C-HARM HABS Forecast V1,habitat,viirs-snpp
charmForecast1dayV2,C-HARM HABS Forecast,NOAA,C-HARM HABS Forecast V2,habitat,viirs-snpp
charmForecast2day,C-HARM HABS Forecast,NOAA,C-HARM HABS Forecast V1,habitat,viirs-snpp
charmForecast2dayV2,C-HARM HABS Forecast,NOAA,C-HARM HABS Forecast V2,habitat,viirs-snpp
charmForecast3day,C-HARM HABS Forecast,NOAA,C-HARM HABS Forecast V1,habitat,viirs-snpp
charmForecast3dayV2,C-HARM HABS Forecast,NOAA,C-HARM HABS Forecast V2,habitat,viirs-snpp
erdMurFront41USWest,ERD MUR Sea Surface Temperature,NASA,"Thermal Fronts, NASA MUR",fronts,blended
jplMURSST,ERD MUR Sea Surface Temperature,NASA,"SST, NASA MUR",sst,blended
jplMURSST41,ERD MUR Sea Surface Temperature,NASA,"SST, NASA MUR",sst,blended
jplmursst41,ERD MUR Sea Surface Temperature,NASA,"SST, NASA MUR",sst,blended
jplMURSST41anom1day,ERD MUR Sea Surface Temperature,NASA,"SST Anomaly, NASA MUR",sst_anom,blended
jplMURSST41anommday,ERD MUR Sea Surface Temperature,NASA,"SST Anomaly, NASA MUR",sst_anom,blended
jplMURSST41clim,ERD MUR Sea Surface Temperature,NASA,"Climatology, NASA MUR",climatology,blended
jplMURSST41F,ERD MUR Sea Surface Temperature,NASA,"SST, NASA MUR",sst,blended
jplMURSST41mday,ERD MUR Sea Surface Temperature,NASA,"SST, NASA MUR",sst,blended
jplMURSST42,ERD MUR Sea Surface Temperature,NASA,"SST and SST Anomaly, NASA MUR, 0.25 degree",sst,blended
erdMBchla14day,NASA Ocean Color,NASA,"Chlorophyll, NASA MODIS Aqua",chl,modis
erdMBchla1day,NASA Ocean Color,NASA,"Chlorophyll, NASA MODIS Aqua",chl,modis
erdMBchla3day,NASA Ocean Color,NASA,"Chlorophyll, NASA MODIS Aqua",chl,modis
erdMBchla5day,NASA Ocean Color,NASA,"Chlorophyll, NASA MODIS Aqua",chl,modis
erdMBchla8day,NASA Ocean Color,NASA,"Chlorophyll, NASA MODIS Aqua",chl,modis
erdMBchlamday,NASA Ocean Color,NASA,"Chlorophyll, NASA MODIS Aqua",chl,modis
erdMH1cflh1day,NASA Ocean Color,NASA,"Chlorophyll fluorescence, NASA MODIS Aqua",chl_fluor,modis
