dataset_id,data_volume,requests,nc_req,dods_req,text_req,metadata_req,graph_req,json_req,mat_req,images_req,other_req,nc_size,dods_size,text_size,metadata_size,graph_size,json_size,mat_size,images_size,other_size,unique_visitors,time_epoch,time
,Mb,,,,,,,,,,,,,,,,,,,,,,UTC
FRD_CPS_SDMs,3,132,0,0,82,10,26,0,0,14,NaN,0,0,1671544,302458,750124,0,0,697274,NaN,25,1671134400,2022-12-15T12:00:00Z
FRD_SSTgradsmo,3,126,0,0,42,10,72,0,0,2,NaN,0,0,1036240,56028,1693608,0,0,71208,NaN,31,1671134400,2022-12-15T12:00:00Z
GEBCO_2020,2160,2084,592,60,1264,10,76,0,0,82,NaN,653539952,8771306,1490116646,55082,1463840,0,0,5785940,NaN,132,1671134400,2022-12-15T12:00:00Z
NCEP_Global_Best,17,1122,0,0,266,42,814,0,0,0,NaN,0,0,4033610,47042,12484998,0,0,0,NaN,128,1671134400,2022-12-15T12:00:00Z
NOAA_DHW,15,738,0,0,266,14,458,0,0,0,NaN,0,0,5791508,100012,9410976,0,0,0,NaN,111,1671134400,2022-12-15T12:00:00Z
NOAA_DHW_monthly,9284,5386,724,216,296,58,908,0,1358,1826,NaN,6530708908,1897226,369414402,306758,15597960,0,2300384608,65847590,NaN,172,1671134400,2022-12-15T12:00:00Z
NWW3_Global_Best,32,2008,0,0,666,28,1314,0,0,0,NaN,0,0,11213488,7038,21129042,0,0,0,NaN,178,1671134400,2022-12-15T12:00:00Z
all_datsets,1039472,1666886,771284,397050,132922,43712,87238,11484,6462,216608,NaN,377662098214,343401979274,249478188784,477657394,NaN,512841470,53740130212,12008368274,NaN,9232,1671134400,2022-12-15T12:00:00Z
charmForecast0day,16,1408,0,204,930,50,152,0,0,72,NaN,0,395348,6991720,374650,3604284,0,0,4752818,NaN,69,1671134400,2022-12-15T12:00:00Z
charmForecast0dayV2,38,756,0,228,56,38,54,0,0,380,NaN,0,309940,1571724,290650,1578012,0,0,33942718,NaN,39,1671134400,2022-12-15T12:00:00Z
charmForecast1day,4,354,0,204,74,32,38,0,0,6,NaN,0,386562,2006034,246418,1318070,0,0,199458,NaN,42,1671134400,2022-12-15T12:00:00Z
charmForecast1dayV2,8,450,0,234,60,34,84,0,0,38,NaN,0,317964,1636574,259950,2081440,0,0,3324362,NaN,35,1671134400,2022-12-15T12:00:00Z
charmForecast2day,6,406,0,204,56,40,76,0,0,30,NaN,0,386426,1991220,304736,1962680,0,0,1033430,NaN,47,1671134400,2022-12-15T12:00:00Z
charmForecast2dayV2,4,346,0,228,46,24,42,0,0,6,NaN,0,310110,1412062,183702,1380856,0,0,214834,NaN,27,1671134400,2022-12-15T12:00:00Z
charmForecast3day,5,362,0,204,58,24,66,0,0,10,NaN,0,386060,1624702,184970,2131760,0,0,852806,NaN,52,1671134400,2022-12-15T12:00:00Z
charmForecast3dayV2,5,378,0,234,50,36,46,0,0,12,NaN,0,318180,1477284,242726,1437278,0,0,1049244,NaN,34,1671134400,2022-12-15T12:00:00Z
chirps20GlobalAnnualP05,4,280,10,96,88,38,46,0,0,2,NaN,559072,621834,1698426,237016,1160886,0,0,45044,NaN,45,1671134400,2022-12-15T12:00:00Z
chirps20GlobalDailyP05,7603,1454,694,222,264,40,134,0,0,100,NaN,6765951366,5462978,826865006,248880,2561096,0,0,1877578,NaN,99,1671134400,2022-12-15T12:00:00Z
chirps20GlobalMonthlyP05,318,702,52,126,306,38,116,0,0,64,NaN,294750096,887868,18129252,236154,2313116,0,0,1858090,NaN,64,1671134400,2022-12-15T12:00:00Z
chirps20GlobalPentadP05,2889,550,0,162,140,38,154,0,0,56,NaN,0,1627460,2882355858,239800,2915168,0,0,2128894,NaN,70,1671134400,2022-12-15T12:00:00Z
coastwatchSMAPV42SSS1day,345,7794,22,6546,58,40,110,206,0,812,NaN,5426432,285187624,2505972,269832,3359632,17186240,0,30925534,NaN,123,1671134400,2022-12-15T12:00:00Z
coastwatchSMOSv662SSS1day,191,11242,358,10328,136,42,108,206,0,64,NaN,35794814,51704636,69101786,288366,2492576,29882816,0,1637512,NaN,62,1671134400,2022-12-15T12:00:00Z
coastwatchSMOSv662SSS3day,80,10346,10,9008,68,56,132,206,0,866,NaN,1631636,21538160,2753836,380078,2943070,9735104,0,41092844,NaN,127,1671134400,2022-12-15T12:00:00Z
documentation,25,608,0,0,608,0,0,0,0,0,NaN,0,0,25220894,0,0,0,0,0,NaN,192,1671134400,2022-12-15T12:00:00Z
ecocast,3,124,0,0,54,18,52,0,0,0,NaN,0,0,1256178,125708,1563692,0,0,0,NaN,31,1671134400,2022-12-15T12:00:00Z
erdAAssta14day,7,304,0,136,58,34,76,0,0,0,NaN,0,346206,4947112,182520,1621676,0,0,0,NaN,48,1671134400,2022-12-15T12:00:00Z
erdAAssta1day,7,296,0,136,70,28,54,0,0,8,NaN,0,536730,4425024,146734,1850870,0,0,226968,NaN,50,1671134400,2022-12-15T12:00:00Z
erdAAssta3day,5,318,0,136,64,50,66,0,0,2,NaN,0,344684,3149972,281966,1504208,0,0,64056,NaN,55,1671134400,2022-12-15T12:00:00Z
erdAAssta5day,4,268,0,136,44,38,48,0,0,2,NaN,0,345684,2462770,202144,1226762,0,0,90798,NaN,38,1671134400,2022-12-15T12:00:00Z
erdAAssta8day,3,284,0,136,58,36,52,0,0,2,NaN,0,346058,1316806,194984,1364280,0,0,97688,NaN,38,1671134400,2022-12-15T12:00:00Z
erdAAsstamday,19,566,0,136,98,34,176,0,0,122,NaN,0,182810,11814496,181416,3060748,0,0,4102210,NaN,63,1671134400,2022-12-15T12:00:00Z
erdAGssta14day,7,286,0,128,76,32,46,0,0,4,NaN,0,791180,4949372,173226,1419322,0,0,42172,NaN,44,1671134400,2022-12-15T12:00:00Z
erdAGssta1day,8,368,0,128,66,28,104,0,0,42,NaN,0,789800,3441136,274664,2174698,0,0,884664,NaN,45,1671134400,2022-12-15T12:00:00Z
erdAGssta3day,8,324,0,128,92,38,58,0,0,8,NaN,0,789598,5659930,207488,1428844,0,0,219478,NaN,49,1671134400,2022-12-15T12:00:00Z
erdAGssta5day,4,260,0,120,56,18,60,0,0,6,NaN,0,704944,1357952,106396,1453560,0,0,128428,NaN,36,1671134400,2022-12-15T12:00:00Z
erdAGssta8day,7,296,0,128,74,36,56,0,0,2,NaN,0,789502,4116738,195670,1378774,0,0,74812,NaN,44,1671134400,2022-12-15T12:00:00Z
erdAGsstamday,5,348,2,128,110,36,66,0,0,6,NaN,164976,414846,2465482,193752,1648642,0,0,87132,NaN,52,1671134400,2022-12-15T12:00:00Z
erdAGtanm14day,20,646,2,128,82,36,224,0,4,170,NaN,2932522,770650,3555730,196908,3957790,0,1285906,6873444,NaN,49,1671134400,2022-12-15T12:00:00Z
erdAGtanm1day,13,1698,0,1512,68,38,70,0,0,10,NaN,0,9090480,2062684,204946,1606942,0,0,205360,NaN,50,1671134400,2022-12-15T12:00:00Z
erdAGtanm3day,14,662,0,120,78,46,224,0,0,194,NaN,0,722694,4330368,277282,3990224,0,0,5096668,NaN,54,1671134400,2022-12-15T12:00:00Z
erdAGtanm5day,7,304,0,120,82,46,48,0,0,8,NaN,0,678084,4460110,275736,1853648,0,0,194944,NaN,52,1671134400,2022-12-15T12:00:00Z
erdAGtanm8day,6,294,0,128,60,48,54,0,0,4,NaN,0,770184,3261568,266734,1349340,0,0,113060,NaN,45,1671134400,2022-12-15T12:00:00Z
erdAGtanmmday,8,358,0,128,64,36,88,0,0,42,NaN,0,414714,4265330,196030,1866192,0,0,1701916,NaN,45,1671134400,2022-12-15T12:00:00Z
erdAIicov1day,41,318,14,130,44,26,94,0,0,10,NaN,33142830,713464,4013184,130872,2718982,0,0,120476,NaN,46,1671134400,2022-12-15T12:00:00Z
erdAIicovmday,3,314,0,134,82,34,60,0,0,4,NaN,0,349714,1451002,199262,1309226,0,0,44132,NaN,44,1671134400,2022-12-15T12:00:00Z
erdAKastdhday,7,302,0,152,62,38,48,0,0,2,NaN,0,2092364,3063224,229038,1153910,0,0,12252,NaN,45,1671134400,2022-12-15T12:00:00Z
erdAKclddhday,5,282,0,128,48,48,56,0,0,2,NaN,0,1841188,1667488,289364,1298180,0,0,27680,NaN,45,1671134400,2022-12-15T12:00:00Z
erdAKssta14day,4,280,0,128,56,26,66,0,0,4,NaN,0,1426280,1173854,153944,1541474,0,0,96088,NaN,39,1671134400,2022-12-15T12:00:00Z
erdAKssta1day,5,300,0,128,62,20,88,0,0,2,NaN,0,1427994,2036290,119220,1788324,0,0,31422,NaN,45,1671134400,2022-12-15T12:00:00Z
erdAKssta3day,4,246,0,128,34,30,52,0,0,2,NaN,0,1427304,894028,181812,1255062,0,0,31422,NaN,36,1671134400,2022-12-15T12:00:00Z
erdAKssta8day,4,256,0,128,32,20,74,0,0,2,NaN,0,1426216,850322,121564,1555234,0,0,23130,NaN,40,1671134400,2022-12-15T12:00:00Z
erdAKsstahday,7,266,0,128,62,34,38,0,0,4,NaN,0,2818124,2521794,206238,1064570,0,0,41400,NaN,43,1671134400,2022-12-15T12:00:00Z
erdAKsstamday,6,290,0,128,76,30,52,0,0,4,NaN,0,1362650,3226844,180324,1202222,0,0,35154,NaN,41,1671134400,2022-12-15T12:00:00Z
erdAKsstdhday,5,262,0,128,72,14,46,0,0,2,NaN,0,1855144,1487960,83120,1164274,0,0,12018,NaN,32,1671134400,2022-12-15T12:00:00Z
erdAOsstdhday,35,1628,0,1512,46,32,38,0,0,0,NaN,0,32914126,1080946,171798,1057572,0,0,0,NaN,34,1671134400,2022-12-15T12:00:00Z
erdAOsstnhday,36,1646,0,1512,26,44,64,0,0,0,NaN,0,33170424,896896,237178,1670224,0,0,0,NaN,36,1671134400,2022-12-15T12:00:00Z
erdATastdhday,68,586,48,280,84,46,92,0,0,36,NaN,53233878,8460592,3055496,263242,2027070,0,0,597106,NaN,60,1671134400,2022-12-15T12:00:00Z
erdATastnhday,17,498,0,280,102,48,60,0,0,8,NaN,0,9895676,4754864,275034,1641484,0,0,581784,NaN,51,1671134400,2022-12-15T12:00:00Z
erdATclddhday,21,556,72,304,82,40,58,0,0,0,NaN,8121306,8652088,2616196,229764,1524104,0,0,0,NaN,44,1671134400,2022-12-15T12:00:00Z
erdATcldnhday,13,454,0,280,68,60,46,0,0,0,NaN,0,9678172,1532566,352458,1231760,0,0,0,NaN,51,1671134400,2022-12-15T12:00:00Z
